sample_ID,geo_loc_name,species,observed,shannon,richness_0,richness_20,richness_50,richness_80,diversities_inverse_simpson,diversities_gini_simpson,diversities_shannon,diversities_fisher,diversities_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_noncore_abundance,rarity_rare_abundance
SRR6442770,Estrecho de Magallanes,Megaptera novaeangliae,31,1.167065714,31,31,31,31,2.047982085,0.511714479,1.167065714,3.137019361,1,0.012716157,0.339857328,0.009481399,0.057390286,0.047325239,0.673045291,0.851945345,41327,0.673045291,0.488285521,0.964024559,0.987283843,2.056518338,0.00219859,0.019315017,0.019315017
SRR6442771,Estrecho de Magallanes,Megaptera novaeangliae,40,0.932603188,40,40,40,40,1.663804906,0.398967994,0.932603188,3.921951748,1,0.010205003,0.252814764,0.0077028,0.062957403,0.031795801,0.767532541,0.840100945,80901,0.767532541,0.601032006,0.992210922,0.989794997,2.056382336,0.003870821,0.000275132,0.000275132
SRR6442774,Estrecho de Magallanes,Megaptera novaeangliae,42,1.96849992,42,42,42,42,5.538334962,0.819440318,1.96849992,5.401498378,3,0.025534963,0.52666504,0.02564044,0.101094695,0.06276104,0.247278383,0.471695179,3180,0.247278383,0.180559682,0.757231726,0.974465037,2.053758014,0.013219285,0.001866252,0.001866252
SRR6442775,Estrecho de Magallanes,Megaptera novaeangliae,25,0.862841649,25,25,25,25,2.097460661,0.523233013,0.862841649,3.521799435,1,0.009956041,0.26805683,0.009710466,0.138079778,0.022747997,0.546607185,0.968067622,2328,0.546607185,0.476766987,0.990842921,0.990043959,2.051700146,0.011270251,0.002347969,0.002347969
SRR6442776,Estrecho de Magallanes,Megaptera novaeangliae,43,1.552852893,43,43,43,43,3.691808157,0.72913002,1.552852893,4.717178073,2,0.016612886,0.412861014,0.017091704,0.07327504,0.039193613,0.416930822,0.67107962,17888,0.416930822,0.27086998,0.884509603,0.983387114,2.057142134,0.006969047,0.00163155,0.00163155
SRR6442777,Estrecho de Magallanes,Megaptera novaeangliae,35,0.167490999,35,35,35,35,1.052395225,0.049786642,0.167490999,3.942934148,1,0.005440856,0.047109593,0.0048722,0.132536407,0.019833409,0.974714923,0.984347333,27524,0.974714923,0.950213358,0.021602096,0.994559144,2.060265299,0.005914017,0.975104469,0.975104469
SRR6442779,Estrecho de Magallanes,Megaptera novaeangliae,37,1.256275666,37,37,37,37,1.826250514,0.452429997,1.256275666,5.463204736,1,0.017686215,0.347910336,0.008454863,0.145255183,0.074134676,0.735053493,0.783511643,3504,0.735053493,0.547570003,0.839941263,0.982313785,2.060389274,0.009649675,0.059786029,0.059786029
SRR6442780,Estrecho de Magallanes,Megaptera novaeangliae,38,1.887612271,38,38,38,38,4.023813876,0.751479559,1.887612271,4.604465941,2,0.024149532,0.518918917,0.018628768,0.083748362,0.069765863,0.452009055,0.576740238,7987,0.452009055,0.248520441,0.961573288,0.975850468,2.056121925,0.01188455,0.004414261,0.004414261
SRR6442781,Estrecho de Magallanes,Megaptera novaeangliae,50,1.728752272,50,50,50,50,3.14041833,0.681571085,1.728752272,5.791504808,1,0.022591192,0.441907491,0.014538974,0.094354952,0.086956348,0.528046005,0.665631343,17171,0.528046005,0.318428915,0.930838305,0.977408808,2.057767072,0.013346454,0.01915862,0.01915862
SRR6442782,Estrecho de Magallanes,Megaptera novaeangliae,39,2.076635032,39,39,39,39,6.340143137,0.842274854,2.076635032,4.904012101,3,0.028803484,0.566835018,0.029352515,0.094411316,0.072676671,0.206701105,0.409240924,2881,0.206701105,0.157725146,0.830535227,0.971196516,2.04497788,0.013560052,0.002511121,0.002511121
